"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Tspan3",7844,2934,2865,1256,5382,1913,1704,2836,490,2750,13,1425,2731,3889,7528,6249,924,644,6603,846,3186,4646,2109
"Stra6",13468,169,700,100,124,734,570,1628,124,74,774,850,1553,899,1302,1365,576,153,1926,169,2138,236,345
"Tmem30a",2009,803,1189,269,1801,584,741,429,623,2805,312,19,629,1158,2565,2088,194,417,1105,707,1403,2001,704
"Hmg20a",1290,146,574,137,363,512,139,1264,202,1337,1425,42,303,322,231,512,332,76,620,164,2216,1008,144
"Cox7a2",3142,656,915,222,1231,281,1165,2146,598,1453,3,877,1086,1053,2192,1291,467,5,2534,30,2114,4277,604
"Col12a1",1401,187,136,99,201,58,1229,1154,312,0,499,140,285,216,201,156,447,154,25,658,737,16,223
"Stoml1",51,111,229,152,34,223,41,867,8,385,203,40,164,135,133,0,181,26,185,0,296,1135,56
"Loxl1",850,19,92,40,47,96,74,922,5,46,104,300,278,122,278,151,150,16,227,172,291,117,96
"Nptn",11,778,1090,167,453,528,525,1265,257,1282,60,129,842,607,1436,633,277,114,818,120,934,2314,762
"Hcn4",187,0,19,0,0,0,14,0,9,0,8,22,23,12,14,44,2,0,1,7,26,0,0
"Neo1",2051,108,340,148,826,846,657,1359,91,22,323,494,275,211,185,603,308,259,200,868,427,81,124
"Mto1",529,206,482,18,49,7,240,1019,505,704,147,37,449,244,491,279,125,63,245,143,831,710,359
"Impg1",1,2,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Cgas",387,49,127,13,17,0,23,132,6,0,74,28,103,62,98,156,0,60,2,236,7,0,0
"Ooep",2182,1667,3632,329,5,10475,14300,29016,7760,4898,470,6991,3079,2093,5242,2616,842,787,584,203,42676,31811,5225
"Gsta4",1959,376,962,694,829,690,327,1707,393,853,3,1026,2040,1705,1487,886,761,97,2081,0,3357,1007,93
"Elovl5",374,637,1224,126,1553,903,304,315,193,2442,199,311,235,373,1555,966,326,67,1403,335,1804,1495,448
"Gclc",407,16,72,17,24,57,12,21,1,108,24,118,90,35,110,43,74,30,31,53,122,0,0
"Lrrc1",15,22,29,7,62,0,13,0,0,1,53,54,29,26,60,42,20,21,3,3,18,6,0
"Tmed3",148,502,610,124,881,280,577,1282,374,2155,13,253,894,740,1291,933,165,116,869,65,968,3218,918
"Mlip",35,0,0,1,0,56,0,0,31,0,0,4,6,0,0,0,2,0,0,0,1,0,0
"Rasgrf1",4,0,0,0,4,0,0,0,0,0,4,9,0,0,0,0,0,0,0,3,88,0,0
"Tinag",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fam83b",0,1,7,1,0,106,0,0,13,0,13,0,0,2,3,0,0,4,0,87,4,0,0
"Ctsh",431,517,1343,300,845,7,94,23,13,96,23,170,186,437,1370,1234,78,125,1045,23,101,115,44
"Hcrtr2",0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,10,0,0,1,0,0,0
"Adamts7",345,88,240,145,0,0,0,0,4,0,186,43,175,81,182,0,165,2,284,8,11,0,0
"Tpm1",912,1459,303,219,122,2860,159,8304,277,1761,220,116,498,394,1488,495,385,153,695,162,2193,5114,2137
"Zic1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plscr1",332,36,167,29,166,242,19,115,23,194,9,10,186,198,316,75,93,15,215,23,265,407,31
"Lactb",218,16,28,0,0,54,61,0,27,122,4,36,24,30,50,0,0,12,30,12,26,916,38
"Plscr2",57,3,32,17,16,5,7,99,7,0,14,0,23,12,12,0,14,15,0,0,82,0,0
"Car12",18,15,43,12,0,95,0,10,64,16,15,14,33,16,54,43,0,4,28,4,196,0,47
"Plod2",301,336,717,334,1251,50,341,683,13,730,96,221,426,766,1956,575,481,199,701,243,525,637,246
"Aph1b",62,93,157,12,80,25,33,1062,52,1216,63,61,99,66,98,115,47,49,23,102,432,59,261
"Usp3",2717,887,3165,561,219,422,1330,287,1164,178,177,180,949,1539,3948,1424,704,197,2029,283,1100,2054,952
"Plscr4",43,38,114,35,87,0,0,0,0,0,0,7,81,89,60,0,43,40,8,1,1,1,2
"Dapk2",2,13,20,0,0,16,0,207,0,71,0,8,0,5,63,0,0,9,0,3,1,278,25
"Ciao2a",363,108,276,64,705,277,166,78,227,383,7,116,282,260,651,355,124,12,669,15,827,818,46
